temprature-zone1,temprature-zone2,humidity-zone1,humidity-zone2,light1-zone1,light2-zone1,water-zone1,feed-zone1
32.11,33.66,49.23,37.73,21.76,34.34,105.68,87.64
30.12,37.73,50.18,40.19,42.01,56.88,99.96,92.45
30.34,33.44,50.57,39.01,31.73,48.29,93.84,89.44
25.06,34.15,47.82,40.79,36.76,41.71,109.01,88.11
32.82,34.02,53.99,44.16,47.77,38.6,91.81,93.27
28.03,38.55,53.23,39.21,27.97,30.1,105.63,81.3
32.41,36.57,52.05,42.52,39.78,56.39,95.06,97.33
34.38,30.5,53.09,39.62,33.84,31.22,91.47,99.26
27.07,38.77,46.66,39.61,32.66,54.77,100.43,90.28
25.06,39.02,45.38,36.99,38.63,36.2,104.37,96.7
32.61,38.95,49.39,39.97,48.29,45.83,90.43,91.21
33.51,34.29,50.74,43.43,25.04,47.57,100.61,85.0
30.94,38.83,53.03,39.26,32.91,33.04,108.31,94.28
29.01,32.39,53.54,39.08,23.91,43.63,104.88,83.11
25.0,33.94,54.36,44.0,22.33,52.42,97.02,90.99
31.9,33.09,52.1,39.42,48.13,40.4,97.06,90.99
28.86,35.81,45.12,37.42,48.89,38.35,92.76,85.24
30.29,33.67,51.17,44.33,30.59,55.81,93.21,85.95
25.67,33.49,50.39,42.91,46.45,54.98,97.34,89.61
32.42,30.18,50.12,42.87,27.71,53.33,106.97,86.01
33.64,34.56,47.21,39.02,25.13,31.42,99.6,91.3
30.94,39.4,52.72,38.93,48.72,47.24,91.2,81.14
32.42,35.44,50.99,42.59,28.2,59.43,98.52,90.24
29.18,34.83,53.4,43.1,33.93,49.05,93.86,89.89
29.71,31.93,51.86,42.13,41.42,43.47,93.02,87.15
29.13,34.35,45.78,36.39,39.66,51.17,99.69,86.74
33.37,31.02,48.7,39.71,23.17,35.29,105.83,93.6
34.17,31.08,53.63,35.33,38.45,31.65,95.93,90.6
27.83,30.21,46.35,35.33,33.39,40.1,96.38,82.06
33.93,33.82,54.48,36.0,29.1,31.99,92.74,97.14
25.45,30.56,50.51,44.69,35.2,47.89,98.22,99.29
26.17,32.61,54.87,44.99,34.19,55.3,104.97,82.23
29.01,30.23,52.69,40.5,23.25,50.78,109.79,82.86
25.26,36.19,54.07,37.1,27.16,59.24,91.76,82.63
30.12,30.49,51.39,37.74,44.66,52.12,99.9,84.1
26.05,36.56,48.08,38.45,49.34,34.8,95.23,88.04
28.24,34.21,51.29,44.65,37.02,41.12,107.14,86.55
29.47,31.59,50.88,41.38,34.79,35.71,98.78,91.73
30.98,30.25,51.08,43.2,34.56,33.25,106.86,98.18
30.99,30.12,49.85,36.09,22.01,39.91,105.75,85.36
25.75,38.02,47.82,38.32,35.58,38.48,103.3,95.0
29.04,36.82,47.2,41.22,49.58,50.31,91.47,99.55
27.69,38.65,53.27,40.87,23.79,39.4,90.53,83.84
25.88,30.34,48.0,37.26,35.34,37.15,96.89,91.73
29.22,38.77,48.07,43.73,30.91,57.66,104.14,91.03
28.91,37.3,47.17,35.63,39.56,33.99,107.72,90.17
31.47,32.19,46.47,43.97,23.49,32.91,99.08,92.9
29.94,35.75,50.63,38.59,37.15,35.63,97.97,83.12
26.13,35.79,54.32,35.76,23.98,53.92,104.58,81.73
27.35,30.97,54.71,41.71,29.94,45.89,93.03,98.25
29.77,39.08,46.09,40.01,31.2,50.11,105.02,82.79
26.92,39.03,46.3,36.27,22.38,54.84,106.29,84.52
25.2,36.29,54.83,42.89,27.32,52.94,91.03,95.08
32.9,30.74,49.54,43.17,30.46,47.92,97.92,84.1
31.39,38.24,49.0,40.85,40.45,45.45,98.21,91.35
33.93,31.48,51.12,38.04,36.48,58.38,109.27,87.96
25.65,35.84,49.92,42.44,27.45,45.84,92.08,97.62
28.41,36.06,49.97,40.07,27.91,31.41,97.98,94.04
27.95,30.11,51.6,39.41,35.26,52.17,105.44,92.17
26.48,31.57,49.12,40.86,27.88,55.72,90.76,99.65
27.02,38.01,47.21,41.35,36.92,37.86,92.3,94.8
33.11,33.29,46.04,38.56,39.16,39.02,95.97,96.99
30.86,38.27,48.63,37.85,45.32,30.66,91.74,86.0
27.96,37.97,45.81,44.92,37.29,47.86,93.93,98.69
27.29,35.77,47.28,36.17,35.3,50.24,108.16,88.39
31.83,37.14,49.37,35.03,38.91,35.44,98.14,88.04
32.52,32.77,51.34,35.54,49.55,32.09,101.38,98.96
31.71,36.1,46.54,44.79,41.25,30.85,95.1,87.53
30.92,31.58,45.36,39.65,32.71,59.88,96.83,81.46
26.88,36.94,51.42,37.57,47.28,49.39,99.32,81.4
27.42,37.83,46.07,38.82,34.97,42.53,109.03,99.4
26.45,36.15,54.72,36.45,30.8,31.55,106.89,91.49
29.4,30.71,50.29,39.77,40.18,52.91,95.69,99.58
28.11,34.5,52.67,40.05,30.45,43.1,91.81,91.64
32.48,35.43,54.21,35.03,24.15,42.5,97.69,95.04
30.34,30.36,47.12,44.7,25.36,34.53,91.91,87.98
30.56,32.43,51.89,35.34,45.57,49.53,102.06,84.52
30.11,31.73,50.13,42.25,48.91,47.28,106.54,81.74
34.5,33.75,47.71,41.62,32.11,31.45,106.6,94.43
33.02,32.04,52.83,41.03,24.98,59.46,108.26,88.43
30.49,37.64,50.24,41.81,36.55,33.71,99.13,82.67
27.43,34.41,51.32,38.93,26.37,54.63,94.2,86.38
26.15,38.84,46.72,43.98,26.49,31.19,108.28,95.89
31.97,37.7,48.16,43.76,42.8,30.21,102.32,81.72
25.14,35.52,52.2,41.52,25.74,48.23,98.22,86.15
26.85,35.99,48.25,43.07,42.91,37.56,104.23,89.09
27.94,36.19,46.65,39.32,22.29,51.1,96.84,91.46
32.53,33.38,47.37,41.78,24.44,48.38,100.71,88.42
32.25,36.92,48.39,44.56,27.17,36.88,106.16,95.94
32.41,30.42,50.47,39.01,27.2,36.91,100.06,83.66
26.79,33.82,52.24,41.78,20.83,39.02,102.68,96.74
29.89,36.43,53.61,38.65,34.46,48.36,109.65,81.02
27.82,33.0,53.35,44.52,41.96,46.75,97.5,97.22
31.55,38.44,51.7,42.94,23.43,36.4,103.8,87.8
28.62,38.16,45.69,35.01,43.65,41.0,93.94,99.3
26.43,35.43,45.05,38.98,35.38,31.51,105.55,83.85
31.85,37.33,52.24,39.84,33.28,56.29,106.1,94.35
33.6,34.18,53.37,40.5,28.45,35.08,109.48,91.67
32.97,39.94,49.28,40.01,31.18,49.55,103.79,95.73
31.64,37.17,52.17,40.11,42.99,32.73,98.18,85.58
25.79,31.5,48.3,38.91,46.58,43.31,107.31,87.14
29.11,38.47,45.25,36.04,45.56,54.74,97.74,82.81
29.95,38.23,49.69,42.16,46.42,31.36,96.0,80.52
34.72,35.9,52.32,37.73,39.58,53.94,99.29,92.65
29.37,39.4,51.25,35.56,39.88,35.31,109.21,99.3
34.14,33.16,52.33,38.97,29.37,38.63,95.78,93.96
27.51,34.81,51.71,43.28,28.21,50.1,95.66,81.73
25.99,32.91,51.77,38.53,27.09,44.68,106.68,84.43
33.34,30.48,47.42,41.3,43.75,38.2,97.11,80.69
29.8,32.02,53.06,35.1,23.11,44.85,103.75,84.88
26.36,30.48,54.93,40.35,29.61,32.05,90.59,80.41
26.87,30.49,50.86,42.4,41.31,51.99,92.27,92.75
25.47,32.3,45.97,42.2,43.22,57.39,102.13,89.96
31.3,38.88,48.77,38.74,39.85,49.71,103.95,93.79
30.72,39.74,47.13,36.85,45.39,39.5,103.79,93.45
33.57,30.28,45.76,40.1,49.44,53.47,109.69,92.16
31.85,33.33,52.96,39.54,48.97,37.0,100.84,92.12
33.16,32.61,48.14,40.62,30.65,47.04,104.08,98.86
29.22,38.52,53.64,36.0,37.17,53.03,107.51,99.18
29.44,35.94,53.97,37.51,25.49,35.66,100.89,90.98
25.25,36.26,47.23,37.22,34.21,46.41,105.88,81.79
30.76,38.56,45.11,43.06,33.78,41.07,92.46,86.18
30.55,36.78,45.39,41.87,47.58,45.4,92.15,89.02
29.08,34.92,46.47,41.02,24.04,47.38,100.24,85.41
32.37,36.12,53.29,43.61,25.03,42.32,91.3,84.28
29.37,30.13,46.66,38.28,32.54,44.85,90.96,81.42
25.44,37.05,53.26,41.4,22.19,46.43,105.77,86.62
32.21,32.89,46.31,36.67,37.18,47.93,93.28,90.3
34.53,32.97,47.15,44.53,49.5,49.52,97.93,85.8
29.46,33.66,48.34,35.76,21.46,57.25,99.02,91.29
26.09,32.39,49.87,39.47,22.44,46.06,92.09,89.36
33.3,32.79,47.95,40.53,23.24,59.74,93.6,99.05
28.78,37.65,50.07,38.83,35.73,39.1,95.37,86.71
26.36,37.53,45.54,38.43,21.61,56.79,95.42,97.99
34.55,39.73,47.8,36.04,23.58,44.93,97.23,92.9
28.96,31.78,53.77,40.59,48.96,47.97,96.92,85.59
28.49,30.88,48.8,35.99,38.59,59.78,103.44,85.38
31.49,30.51,48.53,42.9,31.72,30.32,105.12,98.8
28.8,30.72,45.17,39.8,26.45,31.5,97.88,88.8
33.92,35.25,51.14,43.19,29.85,57.81,91.14,85.39
32.89,39.43,46.31,41.75,48.62,47.02,105.9,98.16
27.75,31.75,53.67,44.22,34.21,31.54,96.4,97.24
27.17,34.63,45.37,40.87,23.53,46.91,91.26,99.79
32.77,34.41,53.44,40.24,34.27,36.97,96.19,87.0
26.47,32.09,49.27,39.35,21.77,41.26,101.12,86.43
31.0,31.71,51.6,36.99,32.76,34.74,93.27,86.07
29.6,39.71,46.29,36.73,48.39,42.94,92.46,93.65
30.91,38.95,54.04,35.01,37.72,52.74,109.09,91.53
30.57,39.42,47.7,36.59,35.97,49.78,91.64,99.18
28.91,30.07,49.87,41.9,36.08,47.23,94.16,99.57
30.5,37.15,52.74,41.84,39.64,32.99,91.17,95.81
31.43,33.32,53.02,35.78,49.9,51.1,107.06,81.08
29.67,39.94,47.17,36.32,41.35,45.57,109.03,81.34
33.63,34.5,52.63,38.76,35.15,43.87,105.27,99.62
30.0,30.45,51.1,41.62,30.71,56.66,103.3,94.52
32.99,34.43,46.7,35.52,27.74,49.26,97.35,88.53
26.27,37.53,51.43,43.22,34.84,57.55,96.54,92.7
27.54,30.93,47.84,39.86,30.55,43.55,91.03,92.16
30.47,35.09,53.68,43.62,24.04,50.08,94.28,98.26
34.36,39.65,54.67,39.66,41.1,41.68,95.33,83.88
27.77,36.67,53.9,43.6,27.22,48.95,91.61,99.13
27.05,36.44,48.46,42.64,27.91,46.87,104.77,91.0
32.83,38.87,53.6,35.88,36.39,59.92,96.23,87.33
25.02,39.83,54.86,36.57,48.86,59.49,94.07,91.96
28.6,39.04,54.78,39.15,25.77,51.09,99.92,93.92
31.82,33.36,46.11,44.79,29.18,44.23,101.82,84.93
31.77,31.13,50.51,41.11,24.21,33.59,99.83,94.25
31.22,39.74,48.22,41.36,44.02,57.33,104.41,81.67
31.02,30.93,49.82,42.87,42.57,54.16,99.45,88.1
27.03,34.07,54.07,39.89,27.81,47.11,105.15,86.06
27.97,30.72,51.88,39.11,31.16,47.38,108.96,85.75
32.9,34.18,49.11,44.79,38.89,34.32,99.32,85.39
31.78,30.3,54.95,44.0,37.94,50.14,106.53,81.1
34.6,35.9,52.79,36.44,26.98,36.79,104.08,96.41
32.59,32.61,46.49,36.59,29.84,55.28,105.07,87.9
28.76,37.34,53.11,42.63,49.31,41.31,102.08,90.81
26.84,33.65,50.27,44.71,23.14,59.82,93.09,91.0
27.92,38.02,45.37,42.92,29.64,33.31,93.03,90.65
32.55,35.89,46.51,36.54,39.46,36.39,103.91,80.82
26.77,38.51,54.17,42.35,34.09,49.62,105.36,85.99
34.61,34.14,54.95,35.97,21.97,32.27,97.71,88.65
25.11,36.77,53.47,37.5,30.84,34.97,102.16,86.13
26.48,37.92,48.03,42.97,44.02,39.13,97.22,94.19
31.11,31.08,53.56,36.2,44.05,51.09,108.75,81.9
25.05,35.15,49.01,35.53,48.06,49.41,90.88,95.69
28.0,38.84,49.98,43.77,21.46,42.09,94.89,96.47
34.88,33.16,48.57,35.39,34.94,47.07,91.25,85.87
28.88,31.39,53.46,37.09,41.54,32.99,91.3,84.26
32.11,37.69,52.66,35.04,46.8,34.34,102.33,94.91
28.49,33.85,51.56,37.91,35.57,49.0,97.79,87.06
33.35,35.8,45.56,43.66,20.49,50.33,106.28,96.94
30.75,34.45,47.57,38.33,31.82,45.9,100.06,88.02
30.77,36.66,45.09,43.49,36.45,36.0,104.89,99.39
26.41,39.16,51.47,40.07,27.06,33.5,103.27,87.56
27.59,34.37,51.49,42.7,48.86,59.52,93.88,81.91
29.75,31.33,54.74,40.54,28.58,48.81,90.59,93.17
32.07,32.66,53.73,44.48,34.37,42.19,109.7,81.92
33.5,32.91,48.61,44.19,29.16,43.69,105.31,94.11
31.43,33.47,47.03,42.9,36.8,57.68,97.2,89.83
33.38,32.94,52.62,35.22,27.1,53.24,94.6,89.56
32.78,35.52,47.62,42.45,21.77,45.9,104.35,82.66
26.18,30.65,45.36,40.85,42.79,49.37,101.43,98.08
34.57,35.05,54.27,36.8,49.85,54.14,100.81,99.55
26.66,32.82,51.25,38.41,28.99,48.92,90.4,91.81
26.24,32.95,46.06,39.21,34.32,58.01,97.04,90.12
29.28,31.71,49.8,38.79,33.84,51.8,93.39,96.09
32.01,32.25,45.57,39.79,48.4,43.11,107.22,87.92
33.16,36.59,54.65,41.16,22.92,42.33,102.8,89.23
29.57,38.86,52.38,44.75,28.47,43.47,97.04,88.06
27.82,35.79,50.17,44.06,43.1,33.49,101.04,89.89
33.35,30.81,46.03,42.8,47.79,45.73,99.23,91.85
34.08,38.47,51.1,42.73,42.45,42.83,99.14,91.0
29.59,35.97,46.76,36.02,36.74,41.0,94.34,93.19
25.31,31.44,52.23,39.38,49.98,51.26,103.9,90.1
32.1,37.55,50.3,44.63,23.2,45.92,107.0,88.99
26.57,36.24,48.41,36.9,21.58,38.04,92.49,97.25
28.13,33.56,54.62,41.25,37.59,42.84,108.36,86.09
31.62,39.76,47.3,40.15,40.28,49.81,100.89,89.37
29.15,32.81,45.97,42.87,38.78,48.49,102.41,88.62
34.1,36.96,46.62,37.59,28.09,57.59,108.0,85.06
32.16,31.59,54.47,38.41,38.65,49.58,97.12,91.65
32.46,32.91,49.97,43.76,25.63,32.7,91.72,95.81
31.55,34.57,46.36,39.94,25.44,53.28,97.83,88.3
33.94,33.5,50.74,40.88,21.89,39.53,92.29,82.47
33.2,31.51,51.57,41.16,46.75,56.31,106.35,96.81
30.84,38.31,53.98,41.97,39.56,57.3,107.22,95.24
28.05,31.69,53.02,44.34,48.51,38.3,90.42,99.95
26.16,33.8,50.58,37.27,25.43,30.07,94.64,84.19
27.31,38.24,49.82,41.37,22.52,47.87,95.46,96.62
34.6,32.21,46.25,36.04,49.08,58.01,95.68,87.9
25.77,30.76,52.9,37.93,45.48,32.67,90.64,92.49
33.0,33.3,51.47,41.3,47.3,31.87,102.41,81.94
31.61,37.59,48.98,35.48,38.55,45.45,92.26,92.11
29.18,38.33,54.79,42.42,35.64,57.8,94.85,95.86
31.53,34.1,46.98,39.46,43.34,47.64,104.03,96.99
32.57,30.12,47.1,38.51,44.48,43.51,91.94,88.82
26.57,32.66,54.15,39.68,45.69,50.79,96.3,83.25
26.28,35.19,53.78,43.09,33.85,41.28,109.55,94.01
30.29,35.65,53.58,36.71,38.7,58.48,91.94,83.29
31.68,38.94,48.0,41.84,41.23,50.65,100.5,82.86
30.11,30.09,54.45,44.05,42.52,31.87,109.75,91.94
26.75,32.33,53.58,41.71,47.25,54.5,106.03,90.86
25.82,37.3,53.46,43.54,41.66,33.49,94.52,87.59
25.84,31.81,48.34,36.84,29.89,49.59,103.08,89.98
32.99,38.86,47.76,42.25,46.66,36.32,92.12,91.46
26.72,34.9,49.43,42.63,35.45,38.29,105.99,81.41
26.11,39.9,48.76,42.14,39.14,43.21,95.63,97.12
34.86,38.42,54.66,39.7,27.46,40.8,103.25,95.62
27.06,35.56,51.54,37.91,23.69,40.9,106.03,89.9
28.55,39.78,52.21,35.84,34.77,45.27,101.75,83.96
34.08,37.77,45.01,37.56,45.32,53.8,100.62,90.46
25.99,37.68,53.78,37.88,49.71,48.69,90.68,91.47
25.13,37.32,52.07,43.41,24.65,40.99,100.82,98.64
30.66,33.65,51.39,37.17,36.72,56.84,105.93,99.96
27.28,35.14,47.72,41.98,40.82,31.27,101.44,91.83
29.04,30.3,54.79,43.07,31.27,58.29,108.97,81.58
33.9,39.73,51.12,37.02,32.14,51.22,103.98,96.4
31.41,34.87,45.57,39.11,42.25,54.04,102.58,84.52
28.01,39.01,51.94,38.36,30.31,31.85,105.92,84.68
32.4,39.48,51.67,35.18,30.57,53.15,94.12,81.23
26.41,32.16,45.08,37.1,36.74,49.85,95.15,91.55
25.73,33.07,48.27,35.84,35.54,38.71,101.43,85.24
31.33,35.1,45.44,39.73,43.83,45.98,90.91,93.62
31.32,39.56,46.59,35.34,32.01,47.24,107.11,82.96
34.34,37.9,52.26,38.74,45.94,30.32,96.68,80.82
32.7,37.85,54.61,35.95,26.36,55.68,96.8,96.47
30.93,35.77,45.49,41.66,22.43,48.88,109.55,99.04
31.34,38.77,54.99,43.1,43.49,32.9,99.29,80.72
26.12,39.46,50.58,39.85,38.13,38.48,105.01,87.52
26.69,30.58,46.97,37.03,39.31,48.41,107.43,89.26
29.9,37.66,47.31,44.95,36.63,42.03,90.19,86.66
